census_village_code_2011,census_village_code_2001,source__census_2001_codes__stc_2001,source__census_2001_codes__dtc_2001,source__census_2001_codes__sub_dt_2001,source__census_2001_codes__plcn_2001,source__census_2001_codes__name_of_state_districts_sub_distts_villages_2001,source__mdds_e_governance_code_census_2011_plcn__mdds_stc,source__mdds_e_governance_code_census_2011_plcn__mdds_dtc,source__mdds_e_governance_code_census_2011_plcn__mdds_sub_dt,source__mdds_e_governance_code_census_2011_plcn__mdds_plcn,source__mdds_e_governance_code_census_2011_plcn__mdds_name_of_state_district_sub_distts_villages,source_sheet,source_2011_code_column,source_2001_code_column,village_name_2011,match_status,reference_year,source_id,observation_type,quality_class,source_sha256,source_file
353522,01076300,20,07,0002,01076300,Mansaraykurwa Chhit,20,350,02546,353522,Mansaraykurwa Chhit,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Mansaraykurwa Chhit,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353523,01076400,20,07,0002,01076400,Katahara Chhit,20,350,02546,353523,Katahara Chhit,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Katahara Chhit,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353524,01076500,20,07,0002,01076500,Katban,20,350,02546,353524,Katban,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Katban,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353525,01076600,20,07,0002,01076600,Madhaiya,20,350,02546,353525,Madhaiya,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Madhaiya,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353526,01076700,20,07,0002,01076700,Jamua,20,350,02546,353526,Jamua,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Jamua,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353527,01076800,20,07,0002,01076800,Tinghara,20,350,02546,353527,Tinghara,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Tinghara,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353528,01076900,20,07,0002,01076900,Hirnatanr,20,350,02546,353528,Hirnatanr,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Hirnatanr,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353529,01077000,20,07,0002,01077000,Katban Chhit,20,350,02546,353529,Katban Chhit,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Katban Chhit,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353530,01077100,20,07,0002,01077100,Dahijor,20,350,02546,353530,Dahijor,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Dahijor,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353531,01077200,20,07,0002,01077200,Kolhanipathar,20,350,02546,353531,Kolhanipathar,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Kolhanipathar,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353532,01077300,20,07,0002,01077300,Lutiyatari,20,350,02546,353532,Lutiyatari,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Lutiyatari,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
