census_village_code_2011,census_village_name_2011,district_code,subdistrict_code,place_id,lgd_village_code_current,lgd_village_name_current,match_method,match_status,census_reference_year,lgd_reference_period,source_id,observation_type,quality_class
347235,Sabua,346,02498,JH-VILL-347235,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347236,Patariha,346,02498,JH-VILL-347236,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347237,Kirya,346,02498,JH-VILL-347237,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347238,Belopati,346,02498,JH-VILL-347238,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347239,Basu Khap,346,02498,JH-VILL-347239,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347240,Hundraha,346,02498,JH-VILL-347240,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347241,Misraulia,346,02498,JH-VILL-347241,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347242,Ghatahua Kalan,346,02498,JH-VILL-347242,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347243,Raja Ghatahua,346,02498,JH-VILL-347243,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347244,Sarkoni,346,02498,JH-VILL-347244,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347245,Patriya,346,02498,JH-VILL-347245,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347246,Panrepura,346,02498,JH-VILL-347246,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347247,Karma,346,02498,JH-VILL-347247,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347248,Misraulia,346,02498,JH-VILL-347248,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347249,Bhilma,346,02498,JH-VILL-347249,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347250,Naubhilma,346,02498,JH-VILL-347250,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347251,Gujaria,346,02498,JH-VILL-347251,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347252,Nawadih,346,02498,JH-VILL-347252,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347253,Sonpura,346,02498,JH-VILL-347253,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347254,Mahatwana,346,02498,JH-VILL-347254,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347255,Chandrapura,346,02498,JH-VILL-347255,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347256,Amdiha,346,02498,JH-VILL-347256,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347257,Jamua,346,02498,JH-VILL-347257,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347258,Patakpura,346,02498,JH-VILL-347258,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347259,Kakanpura,346,02498,JH-VILL-347259,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347260,Baliari,346,02498,JH-VILL-347260,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347261,Marhatia,346,02498,JH-VILL-347261,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347262,Patila,346,02498,JH-VILL-347262,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347263,Semaura,346,02498,JH-VILL-347263,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347264,Nausemaura,346,02498,JH-VILL-347264,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347265,Mahuli,346,02498,JH-VILL-347265,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347266,Dema,346,02498,JH-VILL-347266,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
347267,Sonpurwa,346,02498,JH-VILL-347267,,,,unmatched_no_official_census2011_code_in_lgd_response,2011,current,CENSUS_LOCATION_DIR_2011+LGD_CURRENT,temporal_crosswalk,B
