place_id,place_type,name,parent_place_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,panchayat_code,panchayat_name,village_code,village_name,latitude,longitude,valid_from,valid_to,source_id,quality_class,record_status
JH-VILL-347170,village,Kailan,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347170,Kailan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347171,village,Phulwar,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347171,Phulwar,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347172,village,Konmandra,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347172,Konmandra,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347173,village,Hariharpur,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347173,Hariharpur,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347174,village,Rapura,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347174,Rapura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347175,village,Majhganwan,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347175,Majhganwan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347176,village,Bato,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347176,Bato,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347177,village,Dagar,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347177,Dagar,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347178,village,Srinagar,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347178,Srinagar,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347179,village,Daridah,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347179,Daridah,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347180,village,Dumarsola,JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347180,Dumarsola,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347181,village,Sinduria (CT),JH-SUBD-02496,20,Jharkhand,346,,02496,,,,,,347181,Sinduria (CT),,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-SUBD-02497,subdistrict,Ketar*,JH-DIST-346,20,Jharkhand,346,,02497,Ketar*,,,,,,,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347182,village,Checharia,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347182,Checharia,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
